date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:59:37	24624/24624	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2018%20Jul%202017%2001:59:36%20GMT	https://porndeals.com/dogfart/watching-my-mom-go-black/%e2%80%9dhttps://plus.google.com/+Porndeals%e2%80%9d	H:/PornDeals/PornDeals/porndeals.com/dogfart/watching-my-mom-go-black/%e2%80%9dhttps_/plus.google.com/+Porndeals%e2%80%9d	(from https://porndeals.com/dogfart/watching-my-mom-go-black/)
21:59:37	29165/29165	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202014%2014:37:57%20GMT	https://porndeals.com/media/deals/sites/watchingmymomgoblack.jpg.528x300_q85_crop-smart.jpg	H:/PornDeals/PornDeals/porndeals.com/media/deals/sites/watchingmymomgoblack.jpg.528x300_q85_crop-smart.jpg	(from https://porndeals.com/dogfart/watching-my-mom-go-black/)
21:59:38	25211/25211	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2018%20Jul%202017%2001:59:36%20GMT	https://porndeals.com/dogfart/cum-bang/%e2%80%9dhttps://plus.google.com/+Porndeals%e2%80%9d	H:/PornDeals/PornDeals/porndeals.com/dogfart/cum-bang/%e2%80%9dhttps_/plus.google.com/+Porndeals%e2%80%9d.89b.delayed	(from https://porndeals.com/dogfart/cum-bang/)
21:59:38	37354/37354	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Dec%202014%2020:34:16%20GMT	https://porndeals.com/media/deals/sites/cumbang.jpg.528x300_q85_crop-smart.jpg	H:/PornDeals/PornDeals/porndeals.com/media/deals/sites/cumbang.jpg.528x300_q85_crop-smart.jpg	(from https://porndeals.com/dogfart/cum-bang/)
21:59:38	25132/25132	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2018%20Jul%202017%2001:59:37%20GMT	https://porndeals.com/dogfart/black-meat-white-feet/%e2%80%9dhttps://plus.google.com/+Porndeals%e2%80%9d	H:/PornDeals/PornDeals/porndeals.com/dogfart/black-meat-white-feet/%e2%80%9dhttps_/plus.google.com/+Porndeals%e2%80%9d.89d.delayed	(from https://porndeals.com/dogfart/black-meat-white-feet/)
21:59:38	33218/33218	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Dec%202014%2018:21:35%20GMT	https://porndeals.com/media/deals/sites/blackmeatwhitefeet.jpg.528x300_q85_crop-smart.jpg	H:/PornDeals/PornDeals/porndeals.com/media/deals/sites/blackmeatwhitefeet.jpg.528x300_q85_crop-smart.jpg	(from https://porndeals.com/dogfart/black-meat-white-feet/)
21:59:39	25168/25168	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2018%20Jul%202017%2001:59:38%20GMT	https://porndeals.com/dogfart/gloryhole-initiations/%e2%80%9dhttps://plus.google.com/+Porndeals%e2%80%9d	H:/PornDeals/PornDeals/porndeals.com/dogfart/gloryhole-initiations/%e2%80%9dhttps_/plus.google.com/+Porndeals%e2%80%9d.89f.delayed	(from https://porndeals.com/dogfart/gloryhole-initiations/)
21:59:39	23563/23563	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202014%2023:46:04%20GMT	https://porndeals.com/media/deals/sites/gloryhole-initiation.jpg.528x300_q85_crop-smart.jpg	H:/PornDeals/PornDeals/porndeals.com/media/deals/sites/gloryhole-initiation.jpg.528x300_q85_crop-smart.jpg	(from https://porndeals.com/dogfart/gloryhole-initiations/)
21:59:39	25124/25124	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2018%20Jul%202017%2001:59:38%20GMT	https://porndeals.com/dogfart/dogfart-behind-the-scenes/%e2%80%9dhttps://plus.google.com/+Porndeals%e2%80%9d	H:/PornDeals/PornDeals/porndeals.com/dogfart/dogfart-behind-the-scenes/%e2%80%9dhttps_/plus.google.com/+Porndeals%e2%80%9d.8a1.delayed	(from https://porndeals.com/dogfart/dogfart-behind-the-scenes/)
21:59:40	249168/249168	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Dec%202014%2023:28:48%20GMT	https://porndeals.com/media/deals/sites/dogfartbehindthescene.png.528x300_q85_crop-smart.png	H:/PornDeals/PornDeals/porndeals.com/media/deals/sites/dogfartbehindthescene.png.528x300_q85_crop-smart.png	(from https://porndeals.com/dogfart/dogfart-behind-the-scenes/)
21:59:40	25244/25244	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2018%20Jul%202017%2001:59:39%20GMT	https://porndeals.com/dogfart/zebra-girls/%e2%80%9dhttps://plus.google.com/+Porndeals%e2%80%9d	H:/PornDeals/PornDeals/porndeals.com/dogfart/zebra-girls/%e2%80%9dhttps_/plus.google.com/+Porndeals%e2%80%9d.8a3.delayed	(from https://porndeals.com/dogfart/zebra-girls/)
21:59:40	31771/31771	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Dec%202014%2002:07:14%20GMT	https://porndeals.com/media/deals/sites/zebragirls.jpg.528x300_q85_crop-smart.jpg	H:/PornDeals/PornDeals/porndeals.com/media/deals/sites/zebragirls.jpg.528x300_q85_crop-smart.jpg	(from https://porndeals.com/dogfart/zebra-girls/)
21:59:41	24948/24948	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2018%20Jul%202017%2001:59:39%20GMT	https://porndeals.com/dogfart/katie-thomas/%e2%80%9dhttps://plus.google.com/+Porndeals%e2%80%9d	H:/PornDeals/PornDeals/porndeals.com/dogfart/katie-thomas/%e2%80%9dhttps_/plus.google.com/+Porndeals%e2%80%9d	(from https://porndeals.com/dogfart/katie-thomas/)
21:59:41	34927/34927	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Dec%202014%2002:03:11%20GMT	https://porndeals.com/media/deals/sites/katiethomas.jpg.528x300_q85_crop-smart.jpg	H:/PornDeals/PornDeals/porndeals.com/media/deals/sites/katiethomas.jpg.528x300_q85_crop-smart.jpg	(from https://porndeals.com/dogfart/katie-thomas/)
21:59:41	24871/24871	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2018%20Jul%202017%2001:59:40%20GMT	https://porndeals.com/dogfart/spring-thomas/%e2%80%9dhttps://plus.google.com/+Porndeals%e2%80%9d	H:/PornDeals/PornDeals/porndeals.com/dogfart/spring-thomas/%e2%80%9dhttps_/plus.google.com/+Porndeals%e2%80%9d.8a7.delayed	(from https://porndeals.com/dogfart/spring-thomas/)
